Agg_ASST,simp_ASS,LARC,AUTO,DATE,O3,PM25,PRCP,TMAX,UV,holi,fri,sat,sun,Chicago,NY,LA,Phil,Phoen,Atl,SanFran,Houston,Boston,Indianapolis?
9,29,62,29,2003-04-29,0.039,,0,59,5.23,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7,35,61,30,2003-04-30,0.035,,0,62,5.52,0,0,0,0,0,0,0,0,0,0,1,0,0,0
12,46,68,20,2003-05-01,0.036,,0,69,5.35,0,0,0,0,0,0,0,0,0,0,1,0,0,0
10,36,72,29,2003-05-02,0.022,,0.42,64,5.22,0,1,0,0,0,0,0,0,0,0,1,0,0,0
13,28,64,24,2003-05-03,0.042,5.7,0.2,63,4.58,0,0,1,0,0,0,0,0,0,0,1,0,0,0
7,36,57,20,2003-05-04,0.043,,0,61,6.03,0,0,0,1,0,0,0,0,0,0,1,0,0,0
4,29,50,23,2003-05-05,0.042,,0,61,6.4,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4,31,71,19,2003-05-06,0.036,,0,60,6.05,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6,24,63,24,2003-05-07,0.041,,0,60,5.4,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4,24,74,23,2003-05-08,0.042,,0.01,59,5.52,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7,27,77,30,2003-05-09,0.038,4.9,0,61,5.95,0,1,0,0,0,0,0,0,0,0,1,0,0,0
8,39,78,21,2003-05-10,0.035,,0,65,6.56,0,0,1,0,0,0,0,0,0,0,1,0,0,0
7,29,52,20,2003-05-11,0.04,,0,63,6.75,0,0,0,1,0,0,0,0,0,0,1,0,0,0
4,35,76,33,2003-05-12,0.031,,0,69,6.9,0,0,0,0,0,0,0,0,0,0,1,0,0,0
9,26,70,29,2003-05-13,0.038,,0,64,6.37,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3,29,54,30,2003-05-14,0.039,8.5,0,60,6.77,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6,31,69,24,2003-05-15,0.042,10.3,0,61,7.49,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5,24,77,22,2003-05-16,0.036,,0,64,7.54,0,1,0,0,0,0,0,0,0,0,1,0,0,0
9,25,68,16,2003-05-17,0.041,,0,65,7.98,0,0,1,0,0,0,0,0,0,0,1,0,0,0
10,23,83,37,2003-05-18,0.043,,0,70,6.7,0,0,0,1,0,0,0,0,0,0,1,0,0,0
4,34,77,22,2003-05-19,0.04,,0,80,7.98,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6,25,73,19,2003-05-20,0.034,,0,81,7.73,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7,32,68,16,2003-05-21,0.041,15.1,0,68,7.92,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7,35,76,28,2003-05-22,0.04,,0,63,7.25,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6,16,75,29,2003-05-23,0.026,,0,67,6.82,0,1,0,0,0,0,0,0,0,0,1,0,0,0
9,25,74,23,2003-05-24,0.023,,0,63,6.71,0,0,1,0,0,0,0,0,0,0,1,0,0,0
9,23,58,22,2003-05-25,0.031,,0,70,7.06,0,0,0,1,0,0,0,0,0,0,1,0,0,0
5,34,64,24,2003-05-26,0.034,,0,66,8.06,1,0,0,0,0,0,0,0,0,0,1,0,0,0
4,34,76,25,2003-05-27,0.025,9.1,0,81,8.98,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,37,77,23,2003-05-28,0.018,,0,82,8.88,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3,25,74,30,2003-05-29,,,0,67,7.9,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5,25,73,24,2003-05-30,0.028,,0,65,7.63,0,1,0,0,0,0,0,0,0,0,1,0,0,0
6,29,69,25,2003-05-31,0.037,,0,65,8.36,0,0,1,0,0,0,0,0,0,0,1,0,0,0
13,31,69,24,2003-06-01,0.034,,0,71,7.86,0,0,0,1,0,0,0,0,0,0,1,0,0,0
10,32,66,23,2003-06-02,0.024,20.2,0,80,8.65,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7,38,78,19,2003-06-03,0.043,,0,72,8.22,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8,36,68,20,2003-06-04,0.045,,0,72,8.15,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5,21,67,16,2003-06-05,0.041,,0,70,7.22,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4,25,84,26,2003-06-06,0.04,,0,70,7.25,0,1,0,0,0,0,0,0,0,0,1,0,0,0
4,27,71,26,2003-06-07,0.036,,0,65,7.83,0,0,1,0,0,0,0,0,0,0,1,0,0,0
4,41,74,29,2003-06-08,0.039,4.4,0,64,7.92,0,0,0,1,0,0,0,0,0,0,1,0,0,0
8,33,72,20,2003-06-09,0.034,,0,69,7.59,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7,19,78,29,2003-06-10,0.036,,0,67,7.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7,17,90,16,2003-06-11,0.037,,0,59,7.64,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6,24,78,29,2003-06-12,0.033,,0,59,7.32,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8,27,72,25,2003-06-13,0.028,,0,65,7.98,0,1,0,0,0,0,0,0,0,0,1,0,0,0
5,32,59,21,2003-06-14,0.031,7.5,0,66,8.14,1,0,1,0,0,0,0,0,0,0,1,0,0,0
10,21,67,18,2003-06-15,0.033,,0,70,8.59,0,0,0,1,0,0,0,0,0,0,1,0,0,0
6,24,70,27,2003-06-16,0.036,,0,73,8.09,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7,27,82,33,2003-06-17,0.027,,0,62,8.33,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8,24,83,32,2003-06-18,0.027,,0,66,8.22,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6,30,78,32,2003-06-19,0.027,,0,63,6.65,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5,29,103,28,2003-06-20,0.026,6.6,0,66,7.76,0,1,0,0,0,0,0,0,0,0,1,0,0,0
11,29,70,23,2003-06-21,0.03,,0,65,7.7,0,0,1,0,0,0,0,0,0,0,1,0,0,0
4,23,62,25,2003-06-22,0.034,,0,67,7.82,0,0,0,1,0,0,0,0,0,0,1,0,0,0
8,25,83,27,2003-06-23,0.029,,0,65,7.51,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5,26,73,24,2003-06-24,0.029,,0,80,7.69,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8,35,91,24,2003-06-25,0.045,,0,93,7.52,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7,24,82,19,2003-06-26,0.056,13.6,0,96,8.08,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7,28,76,22,2003-06-27,0.032,,0,97,8.27,0,1,0,0,0,0,0,0,0,0,1,0,0,0
11,43,75,18,2003-06-28,0.025,,0,78,8.78,0,0,1,0,0,0,0,0,0,0,1,0,0,0
9,32,78,23,2003-06-29,0.034,,0,69,8.45,0,0,0,1,0,0,0,0,0,0,1,0,0,0
7,22,66,23,2003-06-30,0.031,,0,70,8.94,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6,31,77,33,2003-07-01,0.025,,0,67,9.17,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4,25,83,24,2003-07-02,0.024,9.1,0,68,9.39,0,0,0,0,0,0,0,0,0,0,1,0,0,0
